No.,Reaction number in iLL672,ORF,glucose(aerobe),glucose (anaerobe),galactose,glycerol,ethanol,Plate,row,col,ORF,gene name(s),brief id 
2563,    'not included in iLL672',YMR316C-B,,,,,,27,G,7,YMR316C-B,,"biological_process unknown, molecular_function unknown, "
2564,    'not included in iLL672',YMR316W,,,,,,27,G,8,YMR316W,DIA1,"digs into agar, pseudohyphal growth*, molecular_function unknown, cellular_component unknown"
2565,    'not included in iLL672',YMR317W,,,,,,27,G,9,YMR317W,,"biological_process unknown, molecular_function unknown, "
2566,    'not included in iLL672',YMR318C,,,,,,27,G,10,YMR318C,,"biological_process unknown, molecular_function unknown, "
2567,    'not included in iLL672',YMR319C,,,,,,27,G,11,YMR319C,FET4,"Low-affinity Fe(II) transport protein, low affinity iron transport, iron transporter, integral plasma membrane protein"
2568,    'not included in iLL672',YMR320W,,,,,,27,G,12,YMR320W,,"biological_process unknown, molecular_function unknown, "
2569,    'not included in iLL672',YNL250W,,,,,,27,H,1,YNL250W,RAD50,"Contains a purine-binding domain, two heptad repeats and a hydrophobic tail., DNA repair,"
2570,    'not included in iLL672',YNL252C,,,0,0,0,27,H,2,YNL252C,"MRPL17, YML30","mitochondrial ribosomal protein of the large subunit, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
2571,    'not included in iLL672',YNL279W,,,,,,27,H,3,YNL279W,PRM1,"pheromone-regulated membrane protein, cell-cell fusion, molecular_function unknown, integral membrane protein*"
2572,    'not included in iLL672',YNL300W,,,,,,27,H,4,YNL300W,TOS6,"biological_process unknown, molecular_function unknown, "
2573,    'part of iLL672',YNL316C,0,0,0,0,0,27,H,5,YNL316C,PHA2,prephenate dehydratase 
2574,    'not included in iLL672',YOL016C,,,,,,27,H,6,YOL016C,CMK2,"Calmodulin-dependent protein kinase, protein phosphorylation*, calcium/calmodulin-dependent protein kinase, cytoplasm"
2575,    'not included in iLL672',YOR096W,,,,,,27,H,7,YOR096W,"RPS7A, RPS30","Ribosomal protein S7A (rp30), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
2576,    'not included in iLL672',YOR306C,,,,,,27,H,8,YOR306C,,
2577,    'part of iLL672',YOR317W,,,,,,27,H,9,YOR317W,FAA1,"long chain fatty acyl:CoA synthetase,long-chain-fatty-acid-CoA-ligase, "
2578,    'not included in iLL672',YPL132W,,,0,0,0,27,H,10,YPL132W,"COX11, LPI13","mitochondrial membrane protein required for insertion of Cu(B) and magnesium during assembly of cytochrome c oxidase, respiration, molecular_function unknown, mitochondrial inner membrane"
2579,    'part of iLL672',YPL134C,,,,,,27,H,11,YPL134C,ODC1,"mitochondrial 2-oxodicarboxylate transport protein, transport,"
2580,    'part of iLL672',YML070W,,,,,,27,H,12,YML070W,DAK1,"putative dihydroxyacetone kinase,glycerone kinase, "
2581,    'not included in iLL672',YML071C,,,,,,28,A,1,YML071C,,"biological_process unknown, molecular_function unknown, "
2582,    'not included in iLL672',YML074C,,,,,,28,A,2,YML074C,"NPI46, FPR3","Prolyl cis-trans isomerase, also called proline rotamase or peptidylprolyl cis-trans isomerase (PPIase), peptidylprolyl isomerase B reaction, peptidylprolyl isomerase, nucleolus"
2583,    'not included in iLL672',YML090W,,,,,,28,A,3,YML090W,,"biological_process unknown, molecular_function unknown, "
2584,    'not included in iLL672',YML094W,,,,,,28,A,4,YML094W,"GIM5, PFD5","bovine prefoldin subunit 5 homolog (putative), protein folding,"
2585,    'not included in iLL672',YML095C,,,,,,28,A,5,YML095C,RAD10,"ssDNA endonuclease, DNA repair,"
2586,    'not included in iLL672',YML095C-A,,,,,,28,A,6,YML095C-A,,"biological_process unknown, molecular_function unknown, "
2587,    'not included in iLL672',YML096W,,,,,,28,A,7,YML096W,,"biological_process unknown, molecular_function unknown, "
2588,    'not included in iLL672',YML097C,,,,,,28,A,8,YML097C,"VPS9, VPL31, VPT9",similar to mammalian ras inhibitors 
2589,    'not included in iLL672',YML099C,,,,,,28,A,9,YML099C,"ARG81, ARGR2","zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type, arginine metabolism, transcription factor,"
2590,    'not included in iLL672',YML100W,,,,,,28,A,10,YML100W,TSL1,"123 kD regulatory subunit of trehalose-6-phosphate synthase phosphatase complex; homologous to TPS3 gene product,alpha,alpha-trehalose-phosphate synthase (UDP-forming), "
2591,    'not included in iLL672',YML100W-A,,,,,,28,A,11,YML100W-A,,"biological_process unknown, molecular_function unknown, "
2592,    'not included in iLL672',YML101C,,,,,,28,A,12,YML101C,,"biological_process unknown, molecular_function unknown, "
2593,    'not included in iLL672',YML102C-A,,,,,,28,B,1,YML102C-A,,"biological_process unknown, molecular_function unknown, "
2594,    'not included in iLL672',YML102W,,,,,,28,B,2,YML102W,CAC2,p60 subunit of the yeast omatin Assembly Factor-I (CAF-I) 
2595,    'not included in iLL672',YML103C,,,,,,28,B,3,YML103C,NUP188,"Nucleoporin, mRNA-nucleus export*, structural protein, nuclear pore"
2596,    'not included in iLL672',YML104C,,,,,,28,B,4,YML104C,MDM1,"intermediate filament protein, mitochondrion organization and biogenesis*, structural protein of cytoskeleton, intermediate filament"
2597,    'part of iLL672',YML106W,,,,,,28,B,5,YML106W,"URA5, PYR5","Orotate phosphoribosyltransferase 1,orotate phosphoribosyltransferase,"
2598,    'not included in iLL672',YML107C,,,,,,28,B,6,YML107C,,"biological_process unknown, molecular_function unknown, "
2599,    'not included in iLL672',YML108W,,,,,,28,B,7,YML108W,,"biological_process unknown, molecular_function unknown, "
2600,    'not included in iLL672',YML109W,,,,,,28,B,8,YML109W,ZDS2,"Zds1 homolog, establishment of cell polarity (sensu Saccharomyces),"
2601,    'part of iLL672',YML110C,,,0,0,0,28,B,9,YML110C,"COQ5, DBI56","Putative mitochondrial C-methyltransferase, ubiquinone metabolism,mitochondrion"
2602,    'not included in iLL672',YML111W,,,,,,28,B,10,YML111W,BUL2,"(putative) ubiquitin-mediated protein degradation, polyubiquitylation*, molecular_function unknown, cellular_component unknown"
2603,    'not included in iLL672',YML112W,,,,,,28,B,11,YML112W,CTK3,"CTD kinase-I gamma subunit, protein phosphorylation*, molecular_function unknown, "
2604,    'not included in iLL672',YML113W,,,,,,28,B,12,YML113W,DAT1,"datin, an oligo(dA).oligo(dT)-binding protein "
2605,    'not included in iLL672',YML116W,,,,,,28,C,1,YML116W,"ATR1, SNQ1","predicted protein is very hydrophobic, has many membrane-spanning regions, several potential glycosylation sites, potential ATP-binding site"
2606,    'not included in iLL672',YML117W,,,,,,28,C,2,YML117W,,"biological_process unknown, molecular_function unknown, "
2607,    'not included in iLL672',YML117W-A,,,,,,28,C,3,YML117W-A,,"biological_process unknown, molecular_function unknown, "
2608,    'not included in iLL672',YML118W,,,,,,28,C,4,YML118W,NGL3,"biological_process unknown, molecular_function unknown, cellular_component unknown"
2609,    'not included in iLL672',YML119W,,,,,,28,C,5,YML119W,,"biological_process unknown, molecular_function unknown, "
2610,    'part of iLL672',YML120C,,,,,,28,C,6,YML120C,NDI1,"NADH dehydrogenase (ubiquinone), complex I (NADH to ubiquinone),NADH dehydrogenase (ubiquinone)"
2611,    'not included in iLL672',YML121W,,,,,,28,C,7,YML121W,GTR1,"Putative small GTPase, phosphate transport,"
2612,    'not included in iLL672',YML122C,,,,,,28,C,8,YML122C,,"biological_process unknown, molecular_function unknown, "
2613,    'part of iLL672',YML123C,,,,,,28,C,9,YML123C,PHO84,"inorganic phosphate transporter, transmembrane protein, phosphate transport, inorganic phosphate transporter, integral plasma membrane protein"
2614,    'not included in iLL672',YML124C,,,,,,28,C,10,YML124C,TUB3,"alpha-tubulin, mitotic chromosome segregation*, structural protein of cytoskeleton, spindle pole body*"
2615,    'not included in iLL672',YML128C,,,,,,28,C,11,YML128C,MSC1,"biological_process unknown, molecular_function unknown, cellular_component unknown"
2616,    'not included in iLL672',YML129C,,,0,0,0,28,C,12,YML129C,COX14,"mitochondrial membrane protein, respiration*, molecular_function unknown, mitochondrial membrane"
2617,    'not included in iLL672',YML131W,,,,,,28,D,1,YML131W,,"biological_process unknown, molecular_function unknown, "
2618,    'not included in iLL672',YMR004W,,,,,,28,D,2,YMR004W,MVP1,peripheral Golgi membrane protein 
2619,    'not included in iLL672',YMR095C,,,,,,28,D,3,YMR095C,SNO1,"SNZ1 proximal ORF, stationary phase induced gene, biological_process unknown, molecular_function unknown, "
2620,    'not included in iLL672',YMR096W,,,,,,28,D,4,YMR096W,SNZ1,"encodes highly conserved 35 kDa protein that shows increased expression after entry into stationary phase, biological_process unknown, molecular_function unknown, "
2621,    'not included in iLL672',YMR097C,,,0,0,0,28,D,5,YMR097C,,"biological_process unknown, molecular_function unknown, "
2622,    'not included in iLL672',YMR098C,,,0,0,0,28,D,6,YMR098C,,"biological_process unknown, molecular_function unknown, "
2623,    'not included in iLL672',YMR099C,,,,,,28,D,7,YMR099C,,"biological_process unknown, molecular_function unknown, "
2624,    'not included in iLL672',YMR100W,,,,,,28,D,8,YMR100W,MUB1,"involved in bud site selection,molecular_function unknown, "
2625,    'not included in iLL672',YMR101C,,,,,,28,D,9,YMR101C,SRT1,"cis-prenyltransferase homologue, protein glycosylation,"
2626,    'not included in iLL672',YMR102C,,,,,,28,D,10,YMR102C,,"biological_process unknown, molecular_function unknown, "
2627,    'not included in iLL672',YMR103C,,,,,,28,D,11,YMR103C,,"biological_process unknown, molecular_function unknown, "
2628,    'part of iLL672',YMR105C,,,,,,28,D,12,YMR105C,"PGM2, GAL5","Phosphoglucomutase, glycogen metabolism*, phosphoglucomutase, cytoplasm*"
2629,    'not included in iLL672',YMR106C,,,,,,28,E,1,YMR106C,"YKU80, HDF2","Exhibits DNA binding activity on its own, associates with Hdf1p to form major DNA end-binding complex, DNA repair,"
2630,    'not included in iLL672',YMR107W,,,,,,28,E,2,YMR107W,,"biological_process unknown, molecular_function unknown, "
2631,    'not included in iLL672',YMR109W,,,,,,28,E,3,YMR109W,MYO5,"myosin I, cell wall organization and biogenesis*, microfilament motor, actin cortical patch (sensu Saccharomyces)"
2632,    'not included in iLL672',YMR110C,,,,,,28,E,4,YMR110C,,"biological_process unknown, molecular_function unknown, "
2633,    'not included in iLL672',YMR111C,,,,,,28,E,5,YMR111C,,"biological_process unknown, molecular_function unknown, "
2634,    'not included in iLL672',YMR114C,,,,,,28,E,6,YMR114C,,"biological_process unknown, molecular_function unknown, "
2635,    'not included in iLL672',YMR115W,,,,,,28,E,7,YMR115W,,"biological_process unknown, molecular_function unknown, "
2636,    'not included in iLL672',YMR116C,,,,,,28,E,8,YMR116C,ASC1,G-beta like protein 
2637,    'not included in iLL672',YMR119W-A,,,,,,28,E,9,YMR119W-A,,"biological_process unknown, molecular_function unknown, "
2638,    'part of iLL672',YMR120C,,,,,,28,E,10,YMR120C,ADE17,"5-aminoimidazole-4-carboxamide ribonucleotide (AICAR) transformylase IMP cyclohydrolase,IMP cyclohydrolase, "
2639,    'not included in iLL672',YMR121C,,,,,,28,E,11,YMR121C,RPL15B,"Ribosomal protein L15B (YL10) (L13B) (rp15R), protein biosynthesis, structural protein of ribosome*, cytosolic large ribosomal (60S)-subunit"
2640,    'not included in iLL672',YMR122C,,,,,,28,E,12,YMR122C,,"biological_process unknown, molecular_function unknown, "
2641,    'not included in iLL672',YMR123W,,,,,,28,F,1,YMR123W,PKR1,"Pichia farinosa killer toxin resistance,molecular_function unknown, "
2642,    'not included in iLL672',YMR124W,,,,,,28,F,2,YMR124W,,"biological_process unknown, molecular_function unknown, "
2643,    'not included in iLL672',YMR125W,,,,,,28,F,3,YMR125W,"STO1, CBC1, GCR3",transcriptional activator of glycolytic genes 
2644,    'not included in iLL672',YMR126C,,,,,,28,F,4,YMR126C,,"biological_process unknown, molecular_function unknown, "
2645,    'not included in iLL672',YMR127C,,,,,,28,F,5,YMR127C,SAS2,zinc-finger protein 
2646,    'not included in iLL672',YMR129W,,,,,,28,F,6,YMR129W,POM152,"Nuclear pore membrane glycoprotein, mRNA-nucleus export*, structural protein, nuclear pore*"
2647,    'not included in iLL672',YMR130W,,,,,,28,F,7,YMR130W,,"biological_process unknown, molecular_function unknown, "
2648,    'not included in iLL672',YMR132C,,,,,,28,F,8,YMR132C,,"biological_process unknown, molecular_function unknown, "
2649,    'not included in iLL672',YMR133W,,,,,,28,F,9,YMR133W,REC114,"mRNA is induced early in sporulation, meiotic recombination, molecular_function unknown, cellular_component unknown"
2650,    'not included in iLL672',YMR135C,,,,,,28,F,10,YMR135C,,"biological_process unknown, molecular_function unknown, "
2651,    'not included in iLL672',YFL006W,,,,,,28,F,11,YFL006W,,"biological_process unknown, molecular_function unknown, "
2652,    'part of iLL672',YFL011W,,,,,,28,F,12,YFL011W,HXT10,"high-affinity hexose transporter, transport,"
2653,    'not included in iLL672',YFL015C,,,,,,28,G,1,YFL015C,,"biological_process unknown, molecular_function unknown, "
2654,    'part of iLL672',YFL018C,,,,m,,28,G,2,YFL018C,"LPD1, HPD1","dihydrolipoamide dehydrogenase precursor (mature protein is the E3 component of alpha-ketoacid dehydrogenase complexes), serine biosynthesis*, dihydrolipoamide dehydrogenase, mitochondrial matrix*"
2655,    'not included in iLL672',YFL020C,,,,,,28,G,3,YFL020C,PAU5,"member of the seripauperin (PAU) family, biological_process unknown, molecular_function unknown, "
2656,    'not included in iLL672',YFL021W,,,,,,28,G,4,YFL021W,"GAT1, NIL1","transcriptional activator with GATA-1-type Zn finger DNA-binding motif,transcription factor,"
2657,    'not included in iLL672',YFL023W,,,,,,28,G,5,YFL023W,FYV11,"biological_process unknown, molecular_function unknown, cellular_component unknown"
2658,    'not included in iLL672',YFL025C,,,,,,28,G,6,YFL025C,BST1,negative regulator of COPII vesicle formation 
2659,    'not included in iLL672',YFL026W,,,,,,28,G,7,YFL026W,STE2,"alpha-factor pheromone receptor; seven-transmembrane domain protein, pheromone response, mating-type alpha-factor pheromone receptor, integral plasma membrane protein"
2660,    'not included in iLL672',YFL027C,,,,,,28,G,8,YFL027C,,"biological_process unknown, molecular_function unknown, "
2661,    'not included in iLL672',YFL028C,,,,,,28,G,9,YFL028C,CAF16,"ABC ATPase, transport,"
2662,    'part of iLL672',YFL030W,,,,,,28,G,10,YFL030W,,"biological_process unknown, molecular_function unknown, "
2663,    'not included in iLL672',YFL031W,,,,,,28,G,11,YFL031W,"HAC1, ERN4, IRE15","bZIP (basic-leucine zipper) protein, transcription regulation from Pol II promoter*, specific RNA polymerase II transcription factor, nucleus"
2664,    'not included in iLL672',YFL032W,0,0,0,0,0,28,G,12,YFL032W,,"biological_process unknown, molecular_function unknown, "
2665,    'not included in iLL672',YFL034W,,,,,,28,H,1,YFL034W,,"biological_process unknown, molecular_function unknown, "
2666,    'not included in iLL672',YFL035C-B,,,,,,28,H,2,YFL035C-B,,
2667,    'not included in iLL672',YFL036W,,,0,0,0,28,H,3,YFL036W,RPO41,"mitohcondrial RNA polymerase, mitochondrial genome maintenance*, DNA-directed RNA polymerase, mitochondrial matrix"
2668,    'not included in iLL672',YFL040W,,,,,,28,H,4,YFL040W,,"biological_process unknown, molecular_function unknown, "
2669,    'not included in iLL672',YFL041W,,,,,,28,H,5,YFL041W,FET5,"multicopper oxidase, type 1 integral membrane protein, iron transport, multicopper ferroxidase iron transport mediator, membrane fraction"
2670,    'not included in iLL672',YFL043C,,,,,,28,H,6,YFL043C,,
2671,    'not included in iLL672',YFL044C,,,,,,28,H,7,YFL044C,,"biological_process unknown, molecular_function unknown, "
2672,    'not included in iLL672',YFL046W,,,,,,28,H,8,YFL046W,,"biological_process unknown, molecular_function unknown, "
2673,    'not included in iLL672',YFL047W,,,,,,28,H,9,YFL047W,,"biological_process unknown, molecular_function unknown, "
2674,    'not included in iLL672',YFL048C,,,,,,28,H,10,YFL048C,EMP47,"47 kDa type I transmembrane protein localized to the Golgi,molecular_function unknown, "
2675,    'not included in iLL672',YFL049W,,,,,,28,H,11,YFL049W,,"biological_process unknown, molecular_function unknown, "
2676,    'not included in iLL672',YFL050C,,,,,,28,H,12,YFL050C,ALR2,"(putative) ion transporter, di-, tri-valent inorganic cation transport, di-, tri-valent inorganic cation transporter, plasma membrane"
2677,    'not included in iLL672',YFL051C,,,,,,29,A,1,YFL051C,,"biological_process unknown, molecular_function unknown, "
2678,    'not included in iLL672',YFL052W,,,,,,29,A,2,YFL052W,,"biological_process unknown, molecular_function unknown, "
2679,    'part of iLL672',YFL053W,,,,,,29,A,3,YFL053W,DAK2,"dihydroxyacetone kinase,glycerone kinase, "
2680,    'not included in iLL672',YFL054C,,,,,,29,A,4,YFL054C,,"biological_process unknown, molecular_function unknown, "
2681,    'part of iLL672',YFL055W,,,,,,29,A,5,YFL055W,AGP3,"Amino acid permease, transport, general amino acid permease, "
2682,    'not included in iLL672',YFL056C,,,,,,29,A,6,YFL056C,AAD6,"Hypothetical aryl-alcohol dehydrogenase (AAD), biological_process unknown, molecular_function unknown, cellular_component unknown"
2683,    'not included in iLL672',YFR001W,,,,,,29,A,7,YFR001W,LOC1,Double-stranded RNA-binding protein 
2684,    'not included in iLL672',YFR006W,,,,,,29,A,8,YFR006W,,"biological_process unknown, molecular_function unknown, "
2685,    'not included in iLL672',YFR007W,,,,,,29,A,9,YFR007W,,"biological_process unknown, molecular_function unknown, "
2686,    'not included in iLL672',YFR008W,,,,,,29,A,10,YFR008W,,"biological_process unknown, molecular_function unknown, "
2687,    'not included in iLL672',YFR009W,,,,,,29,A,11,YFR009W,GCN20,Member of ATP-binding cassette (ABC) family of proteins 
2688,    'not included in iLL672',YFR010W,,,,,,29,A,12,YFR010W,UBP6,"(putative) ubiquitin-specific protease, deubiquitylation, ubiquitin-specific protease, cellular_component unknown"
2689,    'not included in iLL672',YFR012W,,,,,,29,B,1,YFR012W,,"biological_process unknown, molecular_function unknown, "
2690,    'not included in iLL672',YFR014C,,,,,,29,B,2,YFR014C,CMK1,"Calmodulin-dependent protein kinase, protein phosphorylation*, calmodulin-dependent protein kinase I, cytoplasm"
2691,    'part of iLL672',YFR015C,,,,,,29,B,3,YFR015C,GSY1,"Glycogen synthase (UDP-gluocse--starch glucosyltransferase),glycogen (starch) synthase, "
2692,    'not included in iLL672',YFR016C,,,,,,29,B,4,YFR016C,,"biological_process unknown, molecular_function unknown, "
2693,    'not included in iLL672',YFR017C,,,,,,29,B,5,YFR017C,,"biological_process unknown, molecular_function unknown, "
2694,    'not included in iLL672',YFR018C,,,,,,29,B,6,YFR018C,,"biological_process unknown, molecular_function unknown, "
2695,    'not included in iLL672',YFR020W,,,,,,29,B,7,YFR020W,,"biological_process unknown, molecular_function unknown, "
2696,    'not included in iLL672',YFR021W,,,,,,29,B,8,YFR021W,NMR1,"biological_process unknown, molecular_function unknown, "
2697,    'not included in iLL672',YFR022W,,,,,,29,B,9,YFR022W,,"biological_process unknown, molecular_function unknown, "
2698,    'not included in iLL672',YFR023W,,,,,,29,B,10,YFR023W,PES4,"poly(A) binding protein; related to PES4 protein homolog YHR015w, DNA dependent DNA replication, molecular_function unknown, nucleus"
2699,    'not included in iLL672',YFR024C-A,,,,,,29,B,11,YFR024C-A,,"biological_process unknown, molecular_function unknown, "
2700,    'not included in iLL672',YFR026C,,,,,,29,B,12,YFR026C,,"biological_process unknown, molecular_function unknown, "
2701,    'not included in iLL672',YFR031C-A,,,,,,29,C,1,YFR031C-A,"RPL2A, RPL5B","Ribosomal protein L2A (L5A) (rp8) (YL6), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
2702,    'not included in iLL672',YKL096W,,,,,,29,C,2,YKL096W,"CWP1, YJU1",cell wall mannoprotein 
2703,    'not included in iLL672',YKL097C,,,,,,29,C,3,YKL097C,,"biological_process unknown, molecular_function unknown, "
2704,    'not included in iLL672',YKL098W,,,,,,29,C,4,YKL098W,,"biological_process unknown, molecular_function unknown, "
2705,    'not included in iLL672',YKL100C,,,,,,29,C,5,YKL100C,,"biological_process unknown, molecular_function unknown, "
2706,    'not included in iLL672',YKL101W,,,,,,29,C,6,YKL101W,"HSL1, NIK1","Putative protein kinase homologous to S. pombe cdr1 nim1, protein phosphorylation*, protein kinase, septin ring"
2707,    'not included in iLL672',YKL102C,,,,,,29,C,7,YKL102C,,"biological_process unknown, molecular_function unknown, "
2708,    'not included in iLL672',YKL103C,,,,,,29,C,8,YKL103C,"LAP4, APE1, YSC1","vacuolar aminopeptidase ysc1, vacuolar protein degradation, vacuolar aminopeptidase I, vacuole"
2709,    'not included in iLL672',YKL105C,,,,,,29,C,9,YKL105C,,"biological_process unknown, molecular_function unknown, "
2710,    'part of iLL672',YKL106W,,,,,,29,C,10,YKL106W,AAT1,"aspartate aminotransferase, mitochondrial, aspartate catabolism, aspartate aminotransferase, mitochondrion"
2711,    'not included in iLL672',YKL107W,,,,,,29,C,11,YKL107W,,"biological_process unknown, molecular_function unknown, "
2712,    'not included in iLL672',YKL109W,,,,, ,29,C,12,YKL109W,HAP4,"transcriptional activator protein of CYC1 (component of HAP2 HAP3 heteromer), transcription,"
2713,    'not included in iLL672',YKL110C,,,,,,29,D,1,YKL110C,KTI12,"Protein involved in resistance to K. lactis killer toxin,molecular_function unknown, "
2714,    'not included in iLL672',YKL113C,,,,,,29,D,2,YKL113C,"RAD27, ERC11, RTH1","42 kDa 5' to 3' exonuclease required for Okazaki fragment processing, DNA repair,"
2715,    'not included in iLL672',YKL114C,,,,,,29,D,3,YKL114C,APN1,"major apurinic apyrimidinic endonuclease 3'-repair diesterase,DNA-(apurinic or apyrimidinic site) lyase, "
2716,    'not included in iLL672',YKL116C,,,,,,29,D,4,YKL116C,PRR1,"probable serine threonine-specific protein kinase (EC 2.7.1.-), biological_process unknown,"
2717,    'not included in iLL672',YKL117W,,,,,,29,D,5,YKL117W,SBA1,"Hsp90 (Ninety) Associated Co-chaperone, protein folding,"
2718,    'not included in iLL672',YKL118W,,,,, ,29,D,6,YKL118W,,"biological_process unknown, molecular_function unknown, "
2719,    'not included in iLL672',YKL119C,,,,, ,29,D,7,YKL119C,"VPH2, CLS10, VMA12","25.2 kDa protein involved in assembly of vacuolar H(+) ATPase, vacuolar acidification*, molecular_function unknown, endoplasmic reticulum membrane"
2720,    'part of iLL672',YKL120W,,,,,,29,D,8,YKL120W,OAC1,"mitochondrial oxaloacetate transport protein, sulfate transport*, oxaloacetate carrier*, mitochondrial inner membrane"
2721,    'not included in iLL672',YKL121W,,,,,,29,D,9,YKL121W,,"biological_process unknown, molecular_function unknown, "
2722,    'not included in iLL672',YKL123W,,,,,,29,D,10,YKL123W,,"biological_process unknown, molecular_function unknown, "
2723,    'not included in iLL672',YKL124W,,,,,,29,D,11,YKL124W,SSH4,"(putative) involved in ER functions, biological_process unknown,"
2724,    'not included in iLL672',YKL126W,,,,,,29,D,12,YKL126W,YPK1,"76.5 kDa Serine threonine protein kinase with similarity to protein kinase C, is 90% identical to Ypk2p, biological_process unknown, protein kinase, "
2725,    'part of iLL672',YKL127W,,,,,,29,E,1,YKL127W,PGM1,"phosphoglucomutase, minor isoform, glycogen metabolism*, phosphoglucomutase, cytoplasm*"
2726,    'not included in iLL672',YKL128C,,,,,,29,E,2,YKL128C,PMU1,"Phospo-mutase homolog, biological_process unknown,"
2727,    'not included in iLL672',YKL129C,,,,,,29,E,3,YKL129C,MYO3,"myosin I, cell wall organization and biogenesis*, microfilament motor, actin cortical patch (sensu Saccharomyces)"
2728,    'not included in iLL672',YKL130C,,,,,,29,E,4,YKL130C,SHE2,involved in cell polarity 
2729,    'not included in iLL672',YKL131W,,,,,,29,E,5,YKL131W,,"biological_process unknown, molecular_function unknown, "
2730,    'part of iLL672',YKL132C,,,,,,29,E,6,YKL132C,RMA1,"probable folyl-polyglutamate synthetase,folylpolyglutamate synthase, "
2731,    'not included in iLL672',YKL133C,,,,,,29,E,7,YKL133C,,"probable purine nucleotide-binding protein, biological_process unknown, molecular_function unknown, "
2732,    'not included in iLL672',YKL134C,,,0,0,0,29,E,8,YKL134C,30-Sep,"mitochondrial intermediate peptidase, possesses octapeptidyl amino-peptidase activity, iron homeostasis*, metallopeptidase, mitochondrion"
2733,    'not included in iLL672',YKL135C,0,0,0,,0,29,E,9,YKL135C,APL2,"Beta-adaptin, large subunit of the clathrin-associated protein (AP-1) complex "
2734,    'not included in iLL672',YKL136W,,,,,,29,E,10,YKL136W,,"biological_process unknown, molecular_function unknown, "
2735,    'not included in iLL672',YKL137W,,,,, ,29,E,11,YKL137W,,"biological_process unknown, molecular_function unknown, "
2736,    'not included in iLL672',YKL138C,,,0,0,0,29,E,12,YKL138C,"MRPL31, YML31","15.5 kDa mitochondrial ribosomal protein YmL31, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
2737,    'not included in iLL672',YKL140W,,,,,,29,F,1,YKL140W,"TGL1, YKL5",triglyceride lipase-cholesterol esterase 
2738,    'not included in iLL672',YKL142W,,,,,,29,F,2,YKL142W,"MRP8, YKL3","mitochondrial ribosomal protein, protein biosynthesis, structural protein of ribosome, mitochondrial ribosome"
2739,    'not included in iLL672',YKL143W,,,,,,29,F,3,YKL143W,"LTV1, YKL2","low temperature viability protein, stress response, molecular_function unknown, cellular_component unknown"
2740,    'not included in iLL672',YKL146W,,,,,,29,F,4,YKL146W,,"biological_process unknown, molecular_function unknown, "
2741,    'not included in iLL672',YKL147C,,,,,,29,F,5,YKL147C,,"biological_process unknown, molecular_function unknown, "
2742,    'part of iLL672',YKL148C,,,,,0,29,F,6,YKL148C,SDH1,"flavoprotein subunit of succinate dehydrogenase, tricarboxylic acid cycle*, succinate dehydrogenase, mitochondrial matrix*"
2743,    'not included in iLL672',YKL149C,,,,,,29,F,7,YKL149C,"DBR1, PRP26","debranching enzyme, RNA catabolism, RNA lariat debranching enzyme,"
2744,    'not included in iLL672',YKL150W,,,,,,29,F,8,YKL150W,MCR1,"NADH-cytochrome b5 reductase,cytochrome b5 reductase, "
2745,    'not included in iLL672',YKL151C,,,,,,29,F,9,YKL151C,,"biological_process unknown, molecular_function unknown, "
2746,    'not included in iLL672',YKL155C,,,0,0,0,29,F,10,YKL155C,RSM22, 
2747,    'not included in iLL672',YKL156W,,,,,,29,F,11,YKL156W,RPS27A,"40S ribosomal protein S27A (rp61) (YS20), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
2748,    'not included in iLL672',YKL157W,,,,,,29,F,12,YKL157W,"APE2, LAP1","aminopeptidase yscII, peptide metabolism, leucyl aminopeptidase, cytoplasm*"
2749,    'not included in iLL672',YKL158W,,,,,,29,G,1,YKL158W,,
2750,    'not included in iLL672',YKL159C,,,,,,29,G,2,YKL159C,RCN1,"calcineurin inhibitor,molecular_function unknown, "
2751,    'not included in iLL672',YKL160W,,,,,,29,G,3,YKL160W,,"biological_process unknown, molecular_function unknown, "
2752,    'not included in iLL672',YKL161C,,,,,,29,G,4,YKL161C,,"probable serine threonine-specific protein kinase (EC 2.7.1.-), biological_process unknown,"
2753,    'not included in iLL672',YKL162C,,,,,,29,G,5,YKL162C,,"biological_process unknown, molecular_function unknown, "
2754,    'not included in iLL672',YKL163W,,,,,,29,G,6,YKL163W,"PIR3, CCW8","Protein containing tandem internal repeats, cell wall organization and biogenesis, cell wall structural protein, cell wall"
2755,    'not included in iLL672',YKL164C,,,,,,29,G,7,YKL164C,"PIR1, CCW6","Protein containing tandem internal repeats, cell wall organization and biogenesis, cell wall structural protein, cell wall"
2756,    'not included in iLL672',YKL166C,,,,,,29,G,8,YKL166C,TPK3,"cAMP-dependent protein kinase catalytic subunit, protein phosphorylation*, protein serine/threonine kinase*, cytoplasm*"
